GeneName,WT_EtOH_1,WT_EtOH_2,WT_EtOH_3,WT_Dex_1,WT_Dex_2,WT_Dex_3,Brg1KD_EtOH_1,Brg1KD_EtOH_2,Brg1KD_EtOH_3,Brg1KD_Dex_1,Brg1KD_Dex_2,Brg1KD_Dex_3
KARS,12.2,12.2,12.2,12.1,12.2,12.3,12.2,12.2,12.2,12.3,12.2,12.2
KARSP1,1.0,0.7,0.9,0.9,1.1,1.1,0.3,0.4,0.4,0.8,1.5,-0.5
KARSP2,0.1,-0.3,0.0,0.9,0.1,0.0,1.3,1.3,0.4,-0.2,-0.1,0.5
KARSP3,1.6,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,1.4,0.8,-0.1,-0.5
KAT14,9.6,9.4,9.2,9.7,9.8,10.1,9.8,9.8,9.7,9.8,9.9,10.3
KAT2A,8.7,8.8,8.6,8.9,8.8,8.4,8.3,8.3,8.3,8.2,8.3,8.1
KAT2B,9.5,9.5,9.1,9.2,9.1,8.9,8.9,8.9,9.1,8.7,9.1,8.7
KAT5,11.1,11.2,11.0,10.9,11.2,11.1,11.3,11.4,11.3,11.4,11.3,11.3
KAT6A,12.5,12.5,12.7,12.6,12.6,12.9,12.5,12.4,12.6,12.8,12.7,12.8
KAT6B,9.1,9.8,9.2,9.7,9.8,9.6,9.6,9.3,9.9,9.7,10.3,10.0
KAT7,11.6,11.8,11.6,11.7,11.7,11.7,12.1,11.8,11.9,12.0,12.0,12.0
KAT8,10.2,10.2,10.0,10.2,10.5,10.6,10.4,10.2,10.1,10.4,10.3,10.5
KATNA1,9.6,9.6,9.6,9.4,9.8,10.0,9.7,9.8,10.0,9.7,9.7,9.6
KATNAL1,9.5,9.4,9.5,9.3,9.2,9.5,9.0,9.0,9.0,8.7,8.7,8.9
KATNAL2,10.0,10.1,10.0,9.9,10.3,10.2,9.9,10.0,10.0,10.0,10.0,9.9
KATNB1,7.3,7.4,6.9,7.5,7.1,6.7,7.8,7.3,7.3,7.7,7.5,7.5
KATNBL1,10.0,10.2,10.2,10.3,10.6,10.7,10.5,10.7,10.6,10.5,10.6,10.5
KATNBL1P1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KATNBL1P2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,1.9,-0.5
KATNBL1P3,2.6,3.8,2.9,3.7,2.9,2.9,1.3,2.3,2.9,1.8,-0.1,3.1
KATNBL1P4,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,1.4,-0.2,-0.1,-0.5
KATNBL1P5,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
